01	0xc1180080
02	0xc2180080
03	0xc3180080
04	0xc4180080
05	0xc5180080
06	0xc6180080
07	0xc7180080
08	0xc8180080
09	0xc9180080
0_BLOCK_0	0x5b4d1bb7
1	0x31000080
10	0x43190080
105Qstn	0x1e2e45ec
10sec	0x0e52a4e2
11	0x44190080
12	0x45190080
13	0x46190080
14	0x47190080
15	0x48190080
15MWall	0xdbd5ecfb
16	0x49190080
17	0x4a190080
18	0x4b190080
19	0x4c190080
1MWall	0x86d3abf7
1_01	0xc3d3a986
1_01Aggro	0xebd3719f
1_01Aggro_Child	0x64ba19a0
1_02	0xc4d3a986
1_02A	0x8d5de7e8
1_02Aggro	0x5e1ff69a
1_02Aggro_Child	0xdf4fe2be
1_02B	0x8e5de7e8
1_02B_Dummy	0x7bcab3f1
1_02C	0x8f5de7e8
1_03	0xc5d3a986
1_03_Davis	0x3d95afc4
1_03_DavisBrags	0xe0efa39f
1_03_Runner	0x529816c5
1_04	0xc6d3a986
1_04_ClearActions	0x11ed35f0
1_05	0xc7d3a986
1_06	0xc8d3a986
1_06_01	0x305b2fbe
1_06_02	0x315b2fbe
1_06_03	0x325b2fbe
1_06_04	0x335b2fbe
1_06_07	0x365b2fbe
1_06_08	0x375b2fbe
1_06_Give	0xbc32a397
1_06_INTRO01	0x8a41bcd4
1_06_INTRO02	0x8b41bcd4
1_07	0xc9d3a986
1_07StartConv	0xa59d29a2
1_07StartConv02	0x8fd2b897
1_07StartConv03	0x90d2b897
1_07StartConv04	0x91d2b897
1_07StartConv05	0x92d2b897
1_08	0xcad3a986
1_08DrillA	0xbc7308bc
1_08DrillA2	0x663953b8
1_08DrillB	0xbd7308bc
1_08DrillB2	0xe93953b8
1_08DrillC	0xbe7308bc
1_08DrillC2	0x6c3a53b8
1_08GirlsDrilling	0x2c7b9db2
1_08MandySayingCmon	0xf1b825a8
1_08_AfterCake	0x9fd137fb
1_08_BR1	0xe8dd5bf5
1_08_Beatrice	0xbc62aade
1_08_BeginStart	0x5ab148b8
1_08_BentOverPuke	0x7d4377e2
1_08_C1	0x1f0074be
1_08_C10	0x0d105cf5
1_08_C2	0x200074be
1_08_C3	0x210074be
1_08_C4	0x220074be
1_08_C5	0x230074be
1_08_C6	0x240074be
1_08_C7	0x250074be
1_08_C9	0x270074be
1_08_Caf_Grab_Player	0xb4f900a1
1_08_Cafeteria	0x3391fd99
1_08_CafeteriaWCake1	0x01cc25fb
1_08_CafeteriaWCake2	0x02cc25fb
1_08_CafeteriaWoCake	0xcf570cce
1_08_E1	0x250174be
1_08_E2	0x260174be
1_08_E3	0x270174be
1_08_E4	0x280174be
1_08_E5	0x290174be
1_08_E6	0x2a0174be
1_08_EndStart	0x30d46480
1_08_Fatty	0xb18c47ef
1_08_GaryWall	0x28b613ed
1_08_GetChocolate	0xebab59e8
1_08_Give	0xa2c9ab8e
1_08_GiveNotes	0xdfab9f9c
1_08_GiveStink	0xabe20cf5
1_08_Idle	0x8d10ef8e
1_08_LookAround	0xf51affc5
1_08_MandyCollpase	0x415ba7f2
1_08_MandyPuke	0x358cf997
1_08_MandyPuke_Child	0x1ebf2da3
1_08_ManySawPlayer	0xbe38b9df
1_08_N1	0xc00574be
1_08_N10	0x70f15ef5
1_08_N11	0x71f15ef5
1_08_N12	0x72f15ef5
1_08_N13	0x73f15ef5
1_08_N14	0x74f15ef5
1_08_N2	0xc10574be
1_08_N3	0xc20574be
1_08_N4	0xc30574be
1_08_N5	0xc40574be
1_08_N6	0xc50574be
1_08_N7	0xc60574be
1_08_N8	0xc70574be
1_08_N9	0xc80574be
1_08_Nerdo	0x59e73dfc
1_08_NerdoNoCake	0xfab883d1
1_08_NerdoYesCake	0x06cd06c0
1_08_P1	0xc60674be
1_08_P1_2	0xc53fda8f
1_08_P2	0xc70674be
1_08_P3	0xc80674be
1_08_P4	0xc90674be
1_08_P5	0xca0674be
1_08_P6	0xcb0674be
1_08_P7	0xcc0674be
1_08_PF01	0x74a7df8f
1_08_PF02	0x75a7df8f
1_08_PF03	0x76a7df8f
1_08_Prefect	0x0657e6dc
1_08_Reminder	0xcf9298dd
1_08_RollDice	0xd5c661a4
1_08_StinkBombs	0x29a3369a
1_09	0xcbd3a986
1_09_2	0xf2c366ae
1_09_END2	0xc3bfec89
1_09_End	0x5b5bea86
1_09_Start	0x7232b38a
1_10	0x45d4a986
1_10_anims	0x40ea0eeb
1_11	0x46d4a986
1_11X1	0xaff586ae
1_11X2	0xb0f586ae
1_11_Dummy	0x73d45bd5
1_11_HallStrt	0xb1619fb6
1_11x1	0xaff586ae
1_11x2	0xb0f586ae
1_11x2Unlock	0x6c48e6a1
1_11xp	0xcef586ae
1_Aft_Class	0x26ce9591
1_B	0x98050d80
1_B_01	0x2014dab0
1_B_02	0x2114dab0
1_B_03	0x2214dab0
1_B_04	0x2314dab0
1_B_Open	0x99bc1ecf
1_B_ScriptCall	0xf014abda
1_B_X	0x4d2bece8
1_E01	0x34dcece8
1_G1	0x88dfa986
1_G1Locked	0x3292f5ab
1_G2	0x89dfa986
1_Morn_Class	0x551e9dc6
1_S01	0xb286f0e8
1_S01_Bathroom	0x2fb1d9a1
1_S01_Bathroom_1	0x75b806aa
1_S01_Bathroom_2	0x76b806aa
1_S01_Bathroom_3	0x77b806aa
1_S01_Bathroom_Loop	0xb4e7c9fa
1_S01_Get_Bottle	0xd88ef1b5
1_S01_Stand_Talking	0xf854e5ea
1stDown	0x2c97c5ed
1stPerson	0xa73283ac
1stPersonDelay	0x980edafc
1stPersonReturn	0x573ee9a5
2	0x32000080
2-01	0x9c09bf86
2-S05	0xc114cbf3
2-S07	0xc314cbf3
2.07	0xab4cbf86
20	0xc6190080
21	0xc7190080
22	0xc8190080
23	0xc9190080
24	0xca190080
25	0xcb190080
26	0xcc190080
27	0xcd190080
28	0xce190080
29	0xcf190080
2AreaEnd	0xe0509387
2AreaWBall	0x6304b38c
2Down	0x9815dff6
2DownB	0x0a0d28d4
2DownBTree	0x7c4fcafd
2Down_Idle	0x17fa5af9
2Handed	0x7c8a9887
2MWall	0xf91e30f3
2Player	0x7b4a19a3
2PumpCheer	0x5b3ff9ee
2Up	0x91430d80
2_01	0x5e21cc86
2_01_EdnaEnd	0xe01c9de4
2_01_EdnaEnd_1	0xaed414a8
2_01_EdnaStart	0x1fcfa19e
2_01_EdnaStart_1	0xe595e5ec
2_01_EdnaStart_2	0xe695e5ec
2_01_GasStation	0x984c5bc3
2_01_GasStation_1	0x26aa41c3
2_01_GasStation_2	0x27aa41c3
2_01_GasStation_3	0x28aa41c3
2_01_GeneralStore	0x060fb8c1
2_01_GeneralStore_1	0x044a67fb
2_01_GeneralStore_2	0x054a67fb
2_01_GeneralStore_3	0x064a67fb
2_01_TrainStation	0x9d0f34a4
2_01_TrainStation_1	0x53d4eae5
2_01_TrainStation_2	0x54d4eae5
2_01_TrainStation_3	0x55d4eae5
2_02	0x5f21cc86
2_02_Mallpeds	0x10ced7b8
2_02_NIS	0x00787283
2_02_Owner	0x3f01dba7
2_03	0x6021cc86
2_03Cnv	0xbbc873f2
2_03_ConditionsSave	0xc472448b
2_03i	0x691475fa
2_04	0x6121cc86
2_04_Conv	0x3a3924b9
2_05	0x6221cc86
2_05_scriptCall	0xfe007ab5
2_06	0x6321cc86
2_06_02	0x0af7e1f2
2_06_04	0x0cf7e1f2
2_06_05	0x0df7e1f2
2_06_06	0x0ef7e1f2
2_06_07	0x0ff7e1f2
2_06_EmptyAnim	0x42335dce
2_06_End	0x73f8a6c9
2_06_Go	0xec02e2f2
2_06_Lineup01Wa	0x7a113990
2_06_Lineup01a	0x7d42ddb5
2_06_Lineup01b	0x7e42ddb5
2_06_Lineup01bank	0xc855c4fe
2_06_Lineup01c	0x7f42ddb5
2_06_Lineup01d	0x8042ddb5
2_06_Lineup01e	0x8142ddb5
2_06_Lineup01f	0x8242ddb5
2_06_Lineup01g	0x8342ddb5
2_06_Lineup02Wa	0x83543990
2_06_Lineup02Wb	0x84543990
2_06_Lineup02Wc	0x85543990
2_06_Lineup02a	0x0043ddb5
2_06_Lineup02b	0x0143ddb5
2_06_Lineup02bank	0x190c5290
2_06_Lineup02c	0x0243ddb5
2_06_Lineup02d	0x0343ddb5
2_06_Lineup02e	0x0443ddb5
2_06_Lineup03Wa	0x8c973990
2_06_Lineup03Wb	0x8d973990
2_06_Lineup03a	0x8343ddb5
2_06_Lineup03b	0x8443ddb5
2_06_Lineup03bank	0x6ac2dfa1
2_06_Lineup03c	0x8543ddb5
2_06_Lineup03d	0x8643ddb5
2_06_Lineup03e	0x8743ddb5
2_06_Lineup03f	0x8843ddb5
2_06_Lineup04Fa	0xe2d13990
2_06_Lineup04Fb	0xe3d13990
2_06_Lineup04a	0x0644ddb5
2_06_Lineup04b	0x0744ddb5
2_06_Lineup04bank	0xbb786db3
2_06_Lineup04c	0x0844ddb5
2_06_Lineup04d	0x0944ddb5
2_06_Lineup04e	0x0a44ddb5
2_06_Lineup04f	0x0b44ddb5
2_06_Lineup04g	0x0c44ddb5
2_06_PinkyLineup01	0x7f2b85b9
2_06_PinkyLineupBank	0x22927ee2
2_06_Start	0x4a0072c0
2_06_StartFromDebug	0x1bca4e90
2_06_StartSub1	0x9f403e8e
2_06_StartSub2	0xa0403e8e
2_06_StartSub3	0xa1403e8e
2_06_StartSub4	0xa2403e8e
2_06_Target	0xdd279aaa
2_06_Targetanim1	0x3bdc6389
2_06_Targetanim2	0x3cdc6389
2_06_Win	0x90acabc9
2_07	0x6421cc86
2_07_Gord	0xf9533aac
2_08	0x6521cc86
2_08Conv	0x8d8604e9
2_09	0x6621cc86
2_09_Peter_CV	0x4bb03f9e
2_B	0xa1480d80
2_BIntro	0xdf9635c4
2_G2	0x242dcc86
2_G2_Anims	0x474409eb
2_G2_Intro	0xbdda79f7
2_G2_START	0xe3d1cba7
2_GN	0x402dcc86
2_R03	0xfcf97dfa
2_R03_Conv	0xdbef69f5
2_R03_GROUP	0xfcc1d3db
2_R03_X	0xd1eedac6
2_R11	0x7dfa7dfa
2_R11_Bryce	0xd94f1292
2_R11_Chad	0xd61812b3
2_R11_Justin	0xe7fe60cf
2_R11_Parker	0x51da43d5
2_R11_Random	0xa56ac1cb
2_S02	0x043d7efa
2_S02Start	0x7e57eaa0
2_S02_02	0x851e6abd
2_S02_03	0x861e6abd
2_S02_04	0x871e6abd
2_S02_04_1	0x8d98b8ee
2_S02_04_2	0x8e98b8ee
2_S02_05	0x881e6abd
2_S02_06	0x891e6abd
2_S02_07	0x8a1e6abd
2_S02_See_Player	0xb8b857a5
2_S02_Stand_Talking	0xba81e5a6
2_S04	0x063d7efa
2_S05	0x073d7efa
2_S05B	0xd73a99ae
2_S05_EdnaEnd	0x290f4e80
2_S05_EdnaIntro	0x8a77f1b6
2_S05_EdnaIntro_Child	0x2bb1eae3
2_S05_EdnaMiddle	0x6344b4b1
2_S05_EdnaMiddle02	0x3d693ced
2_S06	0x083d7efa
2handstick	0x573773d7
2x4	0xfe440d80
3	0x33000080
30	0x491a0080
306PeanutSprint	0x984e5aac
31	0x4a1a0080
3B_JohnnyVincent	0x9d1d7bda
3_01	0xf96eee86
3_01A	0xacc9028c
3_01C	0xaec9028c
3_01D	0xafc9028c
3_01D_FACE	0xe5e69bd6
3_02	0xfa6eee86
3_02_01	0x765c0ba7
3_02_02	0x775c0ba7
3_02_03	0x785c0ba7
3_02_04	0x795c0ba7
3_02_05	0x7a5c0ba7
3_02_06	0x7b5c0ba7
3_02_07	0x7c5c0ba7
3_02_08	0x7d5c0ba7
3_02_09	0x7e5c0ba7
3_02_10	0xf85c0ba7
3_02_11	0xf95c0ba7
3_02_12	0xfa5c0ba7
3_02_13	0xfb5c0ba7
3_02_14	0xfc5c0ba7
3_02_15	0xfd5c0ba7
3_02_16	0xfe5c0ba7
3_02_17	0xff5c0ba7
3_02_18	0x005d0ba7
3_02_Animation	0x330419e6
3_02_Bait	0x4bed06db
3_02_BikeCrash	0xe12045da
3_02_BikeCrash_Anims	0x7c4e8dc5
3_02_BikeCrash_Idle_Child	0xc3a21081
3_02_BikeCrash_Idle_Child_Child	0x7cd723b9
3_02_BikeCrash_Loop	0xaa3a8eea
3_02_BikeCrash_Sound	0xa992a981
3_02_Conclusion	0x28c320a7
3_02_Congratulatory	0xbd188192
3_02_Dismissive	0x074edeb2
3_02_Introduction	0xafb1d9a8
3_02_JohnnyConfrontation	0xe3052bf6
3_02_PlayerConfrontation	0x9cbeb2f9
3_02_Point	0x8ba12b8c
3_02_PrepHang	0xc03a0fc4
3_02_PrepHang_Break	0xf01babaa
3_03	0xfb6eee86
3_03_08	0x18aa2da7
3_03_09	0x19aa2da7
3_03_Start2	0x987bf9fa
3_04	0xfc6eee86
3_04_Anim	0x049ef0d1
3_04_Conv	0xdb7e35d2
3_04_End	0xdc4bf19d
3_04_Follow	0x40985ad6
3_05	0xfd6eee86
3_06	0xfe6eee86
3_06_MissionStart	0x1bf946e7
3_06_Point	0xef10f6de
3_08	0x006fee86
3_08_Launch	0x029f80a4
3_08_PostDummy	0xf9fce1e2
3_09	0x016fee86
3_B	0xaa8b0d80
3_B_Onlookers	0x07d1b1c1
3_B_Test	0x83e692be
3_G3	0xc07aee86
3_G3_Conv	0xe733bd92
3_R05B	0xaf38fba9
3_R07	0x51b00b8c
3_R08_Business1	0x382446da
3_R08_Business2	0x392446da
3_R08_Business3	0x3a2446da
3_R08_Business4	0x3b2446da
3_R08_Conv	0x7d0ad6b2
3_R08_DIRECT01	0x33c2f5dc
3_R08_DIRECT02	0x34c2f5dc
