AIAimParametricTrack	0x6657F973
AIButes	0xD3FD152C
AISocialSpeechEvent	0x135F3748
AcceptGift	0xDCA53732
ActionMapButes	0x958C936F
ActionNodeRequest	0xD3787F49
ActionRegisterButtonHistory	0xF9B77E04
ActionRequest	0xED2BB800
ActivateDoor	0xE95F3F2C
AddForce	0x669BD676
AddMoney	0x938CB571
AllowSwitchGoofyFoot	0xB747524E
AmmoChange	0x6A12AF4C
AnimationDoorControl	0xF70E5C35
AnimationDriverRotation	0x5604016C
AnimationDriverSteer	0x998EC22B
AnimationDriverStruggle	0x89FE2E51
AnimationDriverTargetSync	0xB8ED2D2B
AnimationGroupRelease	0xB89D9372
AnimationLocoSync	0xCE57DA01
AnimationParametric	0x8453E87F
AnimationReverseParametric	0x4AE31758
Animation	0x6C5B6C6C
ArcadeRaceCameraButes	0x25A49839
AreaTransitionButes	0x11F5A80E
AttachedEffect	0xC9FDCE57
AttackObjective	0xA5B6A44F
AttackOnBike	0xD8B85F1E
AttackPropObjective	0x72793055
AttackProp	0x8F73D814
AttackTimerReset	0xCEC43F13
AttackVehicleObjective	0x51DF0A7C
AttackVehicle	0xE463870D
AttributesForCash	0x45039756
BalanceMeter	0xC1A72714
BeamMoveToSafePos	0xF4D58F35
BeamOrientToSafeHeading	0xD224963B
BikeButes	0x269D764F
BikeSoundStateTrack	0x8CEEFD36
BlendBikeToPos	0x1335C254
Block	0x41DDCC10
BodyMotionBlur	0xC378893B
Brake	0x77089711
ButtonTriggerButes	0x65668A3F
CameraCutscenePath	0x54A2506E
CameraFadeSetup	0xE876356E
CameraFade	0xB9851B7B
CameraGetParametric	0x81DB545C
CameraIrisControl	0xAD8B3247
CameraLock	0x5C01ED7B
CameraLookatPlayer	0x98F73E46
CameraSetDesiredActive	0xAF71B73E
CameraSetLimit	0x7A29A214
CameraSetSafeZone	0x92F01D3F
CameraSetStartPointPullback	0x5F502C0D
CameraSet	0x0D2CEC2C
CameraShake	0x41093764
CameraShot	0x8751DB7C
CameraXYZ	0x7C85ED2C
CameraZoomControl	0x41B9D169
CancelConversation	0x4DD7160C
CheerFight	0x7F799347
CinematicButes	0xA60BD97D
CinematicShotButes	0xD4BEB140
CinematicShotGroupButes	0x372EB151
Cinematic	0xAD7D0845
CleanupDeadSoundLoops	0x70FC4C2A
ClearCurrentObjective	0x357E8517
ClearCurrentStimulus	0x9206C220
ClearObjectives	0xE307A57F
ClearPOI	0x091F5D2F
ClearStimulus	0xBB8C5623
Coast	0x1EDABD22
CoasterCamButes	0x8FAF4A7E
Collision	0xBE93D344
CombatLoco	0x03828256
ComboCounterAddTrack	0x54E7ED5A
ComboCounterSetTrack	0x23BB0C2D
CompletionDisplay	0xB274FB45
Controller	0x4CE27A5E
CreateStimulus	0xBEDDDA34
CrosshairButes	0x7D18BE08
DamageFallingHandle	0x60D4E85E
DamageFalling	0x30AE085C
DamageHandle	0x774F456C
DamageTarget	0xDCD40237
Damage	0x9FD6814E
Death	0xD888F432
DebugPlayerButes	0xBB065C7A
DecreasePlayerPhysicalState	0x03481828
DetachEffect	0x10621C77
DeteriorateAttitudeToAttacker	0xE4ADE30C
DeteriorateAttitudeToTarget	0x80433B7E
DialogAnimation	0x8C612431
DialogJointDriver	0x5663B176
DialogLine	0x24E92E67
DialogShot	0xEAC51E68
DisableFightTokens	0x8A7EA73C
DismissAllySelf	0xCA49575B
DismissAlly	0x52E26E0F
Dock	0x876F3109
DodgeballAIButes	0x65EADE36
DodgeballAIRampButes	0xD717CC21
DodgeballArenaButes	0x52BDAC5E
DodgeballCamButes	0x367D995E
DodgeballCameraView	0xAC9E755F
DodgeballCatchBall	0x94DA546E
DodgeballChangePlayer	0x23927767
DodgeballFollowPath	0xD8BA3842
DodgeballGameButes	0xC7B7FE71
DodgeballGameIdle	0x08D0396F
DodgeballGameTimer	0xF510582C
DodgeballGetBallAI	0x678D263B
DodgeballGotoAI	0x99B0A66A
DodgeballIdleAI	0xD266831F
DodgeballLeadAI	0xCA662422
DodgeballLocationCollision	0x2752F63C
DodgeballPedMarker	0x1F111521
DodgeballPedSetDuck	0x520E383A
DodgeballPhysicsButes	0x5273331C
DodgeballPickupBall	0xA1904673
DodgeballReset	0xC982F759
DodgeballSetGameFlag	0xAA6FA153
DodgeballSetMessage	0x2BE75760
DodgeballSetPath	0x7D0DA338
DodgeballSetPedFlag	0x6BF96675
DodgeballSetTurn	0x9D7F3139
DodgeballSidelineAI	0x41941659
DodgeballSidelineLeadAI	0x89279847
DodgeballSupportAI	0xE1645343
DodgeballTargetSetPedFlag	0x58036158
DodgeballTarget	0x9BDB573A
DontHeadtrack	0xEEED1D3C
EmitterEnable	0x7117A179
EndMission	0x89A9BA41
EquipRangedWeapon	0x938EDC68
EvadeGrenade	0x39229D6B
EvadeProjectile	0x52E3541F
ExecuteDoor	0x2BF27655
ExecuteOnTarget	0xE1CA640E
Execute	0xA9D1E06D
ExtinguisherFire	0xBD995171
FPPassengerGetOff	0x699AAA3E
FPPassengerGetOn	0xE98D7656
FaceDiveEntity	0x7493231E
FaceHitDirection	0xB10E8623
FaceObjective	0x30E9A92E
FaceStimulus	0xBB781046
FaceTarget	0x66B64B45
FacialEyeBrow	0xA5499908
FacialEyeLid	0xCEAD0702
FacialEye	0x39AE432E
FacialMouth	0x4F111562
FightCamButes	0x043DF320
FightCollisionButes	0x2DEA6917
FirstPersonCamButes	0xF9B0A121
FleeObjective	0xCB80F14E
FleeOnPathOnBike	0xC29F603D
FleeOnRoadOnBike	0x2101A814
Flee	0xA2427509
FollowCam3Butes	0x9A002D4F
FollowFocusOnBike	0x479FD56B
FollowFocus	0x07A92D75
FollowPath	0x72940560
FollowTargetOnBike	0xBAE46E15
ForceFeedback	0x20F4F826
FreezeBike	0x88236907
FrisbeeButes	0x732AC93C
GameTimer	0xD3895D35
GetOffVehicle	0x6B79954F
GetOnVehicle	0x938B0D59
GiveArmorBonus	0xB5063E35
GiveItemToPlayer	0xD4CA9F7F
GivePlayerReward	0x9188221C
GivePunishmentPointsToPlayer	0x13B26A10
GivePunishmentPointsToTarget	0x0F7BA73F
GiveTargetToFocus	0xCFED7407
GlobalSpineControlButes	0xDEFAA377
Gravity	0x8E097E2E
Greet	0x2DA15C69
GroundImpact	0xBDFC4517
